,name,code,per,roe,per_sort,roe_sort,sort
1746,와이엔텍,067900,11.43,15.0,90,936,1026
491,오성첨단소재,052420,27.16,5.55,700,326,1026
743,동국알앤에스,075970,20.22,3.93,516,512,1028
657,센트랄모텍,308170,33.08,6.84,818,210,1028
2239,현대코퍼레이션홀딩스,227840,5.78,9.98,1025,3,1028
843,인산가,277410,11.1,14.38,72,958,1030
140,삼보판지,023600,5.36,9.64,1005,26,1031
1063,메이슨캐피탈,021880,31.07,6.39,790,242,1032
1409,신성델타테크,065350,30.78,6.37,787,246,1033
1498,클리오,237880,31.73,6.42,796,238,1034
1310,한솔제지,213500,5.56,9.67,1011,24,1035
2146,JW홀딩스,096760,37.38,7.45,873,162,1035
600,BNK금융지주,138930,3.56,6.11,764,272,1036
1677,마크로젠,038290,3.26,56.72,757,282,1039
1969,동양에스텍,060380,5.81,9.87,1027,13,1040
2414,티플랙스,081150,20.21,3.81,515,526,1041
217,인텍플러스,064290,21.41,35.22,551,490,1041
1890,아남전자,008700,49.44,9.11,987,56,1043
983,유진증권,001200,5.07,9.11,992,55,1047
500,원익큐브,014190,20.11,3.74,513,534,1047
2226,한국특강,007280,22.17,4.06,576,473,1049
1311,한솔케미칼,014680,18.09,24.5,415,638,1053
2313,셀트리온헬스케어,091990,104.73,13.36,61,992,1053
1445,오이솔루션,138080,48.08,8.63,975,82,1057
408,네오팜,092730,12.92,16.23,172,887,1059
797,아이디피,332370,28.44,5.35,720,340,1060
1845,SIMPAC,009160,4.73,7.54,910,151,1061
976,영원무역홀딩스,009970,4.91,7.64,916,145,1061
2432,한라IMS,092460,22.79,4.06,591,470,1061
947,무학,033920,15.44,2.55,317,746,1063
623,대웅제약,069620,149.9,2.38,298,765,1063
1714,신라섬유,001000,146.58,2.38,297,767,1064
1303,퍼스텍,010820,14.24,19.81,252,812,1064
250,파세코,037070,13.63,17.46,216,850,1066
2253,SGA,049470,10.31,12.43,31,1035,1066
42,삼호개발,010960,5.75,9.26,1023,44,1067
702,한국항공우주,047810,33.7,6.39,827,240,1067
392,HRS,036640,10.05,11.93,14,1054,1068
2140,DB손해보험,005830,5.54,9.08,1010,58,1068
2052,유니셈,036200,12.49,15.25,151,919,1070
1035,네오셈,253590,16.8,20.01,370,700,1070
1193,한국컴퓨터,054040,5.33,8.93,1003,68,1071
1165,콜마비앤에이치,200130,19.05,27.88,455,616,1071
540,코리아센터,290510,39.4,7.17,886,185,1071
77,포스코강판,058430,16.47,2.88,357,716,1073
799,아프리카TV,067160,19.0,27.56,453,621,1074
2366,원익피앤이,131390,17.0,20.17,379,696,1075
2084,케어랩스,263700,29.53,5.4,740,337,1077
735,다원시스,068240,37.06,6.86,869,209,1078
1758,윈스,136540,12.54,15.2,153,925,1078
1652,나이스디앤비,130580,14.02,18.38,245,833,1078
452,삼일기업공사,002290,23.27,4.06,608,471,1079
1064,모바일리더,100030,12.23,14.99,142,937,1079
173,앤디포스,238090,36.51,6.72,867,213,1080
103,국순당,043650,5.37,8.79,1006,75,1081
1147,이엘피,063760,20.74,3.59,530,551,1081
1079,서연탑메탈,019770,29.44,5.33,739,342,1081
300,KB금융,105560,5.22,8.53,998,85,1083
751,램테크놀러지,171010,36.49,6.68,866,218,1084
68,조비,001550,32.66,6.06,811,274,1085
153,스페코,013810,18.51,22.93,434,653,1087
1664,드림시큐리티,203650,40.31,7.42,924,164,1088
1399,세원,234100,14.53,18.7,264,827,1091
1181,풍국주정,023900,32.19,5.98,802,289,1091
1361,대원미디어,048910,28.55,5.03,723,369,1092
1094,씨앤지하이테크,264660,11.98,13.91,118,974,1092
1878,방림,003610,16.33,2.62,352,741,1093
1077,사람인에이치알,143240,14.5,18.4,261,832,1093
1284,제일연마,001560,22.12,3.84,575,519,1094
1513,한글과컴퓨터,030520,12.44,14.72,149,946,1095
2337,에스씨디,042110,21.63,3.68,557,541,1098
1798,팜스빌,318010,29.89,5.21,744,354,1098
1590,에스제이엠홀딩스,025530,15.19,2.02,303,802,1105
2177,미원홀딩스,107590,10.23,11.35,25,1083,1108
2027,에코프로,086520,48.91,7.87,980,128,1108
72,코오롱인더,120110,6.0,9.7,1088,20,1108
316,넷마블,251270,36.05,6.35,860,248,1108
200,웰크론,065950,13.96,16.54,228,881,1109
1887,신대양제지,016590,6.06,9.72,1092,17,1109
1349,나스미디어,089600,12.84,14.85,167,943,1110
2374,이루다,164060,18.33,20.74,427,683,1110
1997,서희건설,035890,2.56,27.81,493,618,1111
1495,크리스탈신소재,900250,5.18,8.09,996,115,1111
934,대창,012800,21.42,3.5,552,560,1112
425,디오,039840,44.05,7.37,947,167,1114
1152,제노레이,122310,13.95,16.13,227,890,1117
1993,상신전자,263810,33.55,5.87,823,295,1118
149,셀트리온제약,068760,416.13,7.21,939,179,1118
1790,테크윙,089030,14.25,16.97,254,864,1118
2244,AP시스템,265520,15.22,19.78,305,813,1118
1941,KG이니시스,035600,13.25,15.23,198,921,1119
375,한국토지신탁,034830,6.01,9.44,1089,31,1120
1621,한미반도체,042700,18.76,21.03,441,679,1120
57,우진,105840,2.6,25.83,495,626,1121
2336,얼라인드,238120,152.01,2.21,338,784,1122
1931,현대글로비스,086280,11.38,12.45,89,1034,1123
1295,크라운해태홀딩스,005740,5.93,8.4,1031,92,1123
1139,원익홀딩스,030530,6.23,9.68,1104,22,1126
1323,CNH,023460,2.72,25.3,498,629,1127
948,미래아이앤지,007120,2.59,24.75,494,635,1129
314,기업은행,024110,4.41,6.44,898,236,1134
89,현대차증권,001500,5.79,8.2,1026,109,1135
1508,푸른저축은행,007330,5.7,8.07,1021,116,1137
2342,에스폴리텍,050760,12.16,13.09,138,1002,1140
362,코오롱,002020,2.0,22.75,483,657,1140
516,인선이엔티,060150,12.66,13.72,160,980,1140
1333,LX세미콘,108320,13.05,14.44,187,956,1143
2287,로체시스템즈,071280,11.77,12.08,100,1044,1144
9,LG전자,066570,12.4,13.23,147,997,1144
2059,이라이콤,041520,24.28,3.97,637,507,1144
91,3S,060310,154.57,2.0,339,806,1145
382,화승인더스트리,006060,10.56,10.94,40,1106,1146
890,한국정보통신,025770,31.77,5.24,797,350,1147
63,일성건설,013360,21.5,3.16,556,592,1148
1021,KMH,122450,12.64,13.44,159,990,1149
304,LS전선아시아,229640,32.53,5.35,808,341,1149
2170,두올,016740,21.18,3.0,545,606,1151
1109,에스엔유,080000,27.14,4.21,699,456,1155
2247,GRT,900290,1.86,10.32,11,1144,1155
2383,인화정공,101930,2.05,21.41,485,673,1158
1422,에스넷,038680,30.94,5.0,788,371,1159
1184,피씨디렉트,051380,14.25,15.7,253,906,1159
1497,클래시스,214150,26.11,36.06,672,488,1160
1569,동아에스티,170900,27.6,4.21,703,458,1161
704,한미사이언스,008930,226.62,3.46,599,562,1161
212,이스트소프트,047560,14.47,15.7,260,905,1165
2185,성신양회,004980,18.14,2.53,418,748,1166
1472,잉글우드랩,950140,32.17,5.06,801,366,1167
633,디아이,003160,27.59,4.13,702,465,1167
1883,삼영전자공업,005680,17.86,2.34,398,770,1168
688,코스모신소재,005070,48.97,7.16,982,186,1168
2378,이지홀딩스,035810,2.51,21.17,492,676,1168
1891,아세아제지,002310,6.15,8.9,1101,70,1171
243,키네마스터,139670,151.54,18.34,337,834,1171
327,디티알오토모티브,007340,5.6,7.48,1014,158,1172
1146,이엔에프테크놀로지,102710,14.68,16.06,276,896,1172
2307,상상인인더스트리,101000,34.59,5.51,843,330,1173
1696,비츠로테크,042370,11.24,11.11,82,1091,1173
2091,코리아에프티,123410,22.01,3.05,572,601,1173
1244,두산퓨얼셀,336260,277.51,4.18,712,461,1173
620,농심홀딩스,072710,5.25,7.23,1000,176,1176
1689,뷰웍스,100120,13.26,13.8,199,979,1178
2180,삼성물산,028260,25.24,3.81,653,525,1178
189,엘아이에스,138690,37.3,5.74,871,307,1178
1635,후성,093370,182.36,2.79,452,727,1179
1545,F&F 홀딩스,007700,15.15,16.59,302,879,1181
690,테이팩스,055490,12.86,12.86,170,1014,1184
647,삼성증권,016360,7.11,9.89,1173,12,1185
822,영림원소프트랩,060850,20.63,22.2,524,661,1185
1885,새론오토모티브,075180,19.28,2.86,468,718,1186
1248,미창석유공업,003650,5.68,7.36,1018,168,1186
1338,TPC,048770,13.44,13.85,208,978,1186
626,덕성,004830,37.0,5.61,868,319,1187
871,키이스트,054780,20.74,22.42,529,660,1189
1016,DSC인베스트먼트,241520,4.5,51.02,903,286,1189
2008,아바텍,149950,25.63,3.8,661,528,1189
1925,한농화성,011500,10.72,10.34,49,1141,1190
